TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
BOS,BOS @ WAS,1/6/2020,L,240,94,33,95,34.7,8,37,21.6,20,26,76.9,16,39,55,17,7,8,17,20,-5
BOS,BOS @ CHI,1/4/2020,W,240,111,43,82,52.4,8,19,42.1,17,21,81,13,31,44,22,10,5,20,22,7
BOS,BOS vs. ATL,1/3/2020,W,240,109,41,93,44.1,6,25,24,21,29,72.4,12,42,54,23,9,7,13,16,3
BOS,BOS @ CHA,12/31/2019,W,240,109,44,97,45.4,14,38,36.8,7,10,70,15,39,54,25,12,9,13,16,17
BOS,BOS vs. TOR,12/28/2019,L,240,97,31,78,39.7,7,32,21.9,28,36,77.8,7,24,31,18,11,4,15,17,-16
BOS,BOS vs. CLE,12/27/2019,W,240,129,49,95,51.6,14,40,35,17,19,89.5,12,31,43,28,4,10,11,23,12
BOS,BOS @ TOR,12/25/2019,W,240,118,46,92,50,14,33,42.4,12,14,85.7,13,32,45,26,7,3,19,22,16
BOS,BOS vs. CHA,12/22/2019,W,240,119,46,88,52.3,14,32,43.8,13,16,81.3,10,47,57,25,2,9,13,24,26
BOS,BOS vs. DET,12/20/2019,W,240,114,45,86,52.3,9,27,33.3,15,21,71.4,13,38,51,24,13,9,20,19,21
BOS,BOS @ DAL,12/18/2019,W,240,109,35,86,40.7,12,38,31.6,27,30,90,14,40,54,13,3,4,16,21,6
BOS,BOS vs. PHI,12/12/2019,L,240,109,42,91,46.2,11,31,35.5,14,17,82.4,9,24,33,24,4,7,6,25,-6
BOS,BOS @ IND,12/11/2019,L,240,117,43,87,49.4,14,36,38.9,17,22,77.3,8,36,44,25,6,4,15,27,-5
BOS,BOS vs. CLE,12/9/2019,W,240,110,45,78,57.7,15,27,55.6,5,8,62.5,5,34,39,22,8,9,18,19,22
BOS,BOS vs. DEN,12/6/2019,W,240,108,44,82,53.7,13,35,37.1,7,8,87.5,4,33,37,21,5,5,16,23,13
BOS,BOS vs. MIA,12/4/2019,W,240,112,35,79,44.3,16,41,39,26,32,81.3,10,36,46,21,8,8,11,20,19
BOS,BOS @ NYK,12/1/2019,W,240,113,41,93,44.1,15,41,36.6,16,22,72.7,16,28,44,25,5,7,14,28,9
BOS,BOS @ BKN,11/29/2019,L,240,107,41,93,44.1,9,28,32.1,16,21,76.2,16,32,48,16,11,7,19,14,-5
BOS,BOS vs. BKN,11/27/2019,W,240,121,43,97,44.3,13,34,38.2,22,24,91.7,19,36,55,23,10,5,14,17,11
BOS,BOS vs. SAC,11/25/2019,W,240,103,38,85,44.7,7,30,23.3,20,23,87,11,27,38,20,10,4,12,16,1
BOS,BOS @ DEN,11/22/2019,L,240,92,33,81,40.7,7,27,25.9,19,23,82.6,5,35,40,21,12,6,13,19,-4
BOS,BOS @ LAC,11/20/2019,L,265,104,41,104,39.4,12,45,26.7,10,14,71.4,18,35,53,26,11,2,18,22,-3
BOS,BOS @ PHX,11/18/2019,W,240,99,37,89,41.6,12,41,29.3,13,17,76.5,11,41,52,22,12,5,17,21,14
BOS,BOS @ SAC,11/17/2019,L,240,99,34,82,41.5,10,30,33.3,21,24,87.5,10,36,46,26,7,3,15,14,-1
BOS,BOS @ GSW,11/15/2019,W,240,105,37,91,40.7,13,33,39.4,18,23,78.3,11,36,47,24,13,5,14,24,5
BOS,BOS vs. WAS,11/13/2019,W,240,140,49,96,51,16,36,44.4,26,29,89.7,10,34,44,32,5,5,12,26,7
BOS,BOS vs. DAL,11/11/2019,W,240,116,41,86,47.7,15,35,42.9,19,25,76,10,36,46,25,4,5,9,27,10
BOS,BOS @ SAS,11/9/2019,W,240,135,48,94,51.1,14,37,37.8,25,28,89.3,7,36,43,28,11,11,9,25,20
BOS,BOS @ CHA,11/7/2019,W,240,108,40,93,43,10,33,30.3,18,23,78.3,11,41,52,29,13,5,13,19,21
BOS,BOS @ CLE,11/5/2019,W,240,119,48,85,56.5,12,30,40,11,15,73.3,4,41,45,24,5,12,14,23,6
BOS,BOS vs. NYK,11/1/2019,W,240,104,33,74,44.6,11,34,32.4,27,29,93.1,3,41,44,21,7,4,14,16,2
BOS,BOS vs. MIL,10/30/2019,W,240,116,41,92,44.6,17,41,41.5,17,21,81,5,40,45,25,4,4,10,20,11
BOS,BOS @ NYK,10/26/2019,W,240,118,42,93,45.2,15,41,36.6,19,29,65.5,13,33,46,24,14,9,13,26,23
BOS,BOS vs. TOR,10/25/2019,W,240,112,42,109,38.5,13,38,34.2,15,16,93.8,21,35,56,21,10,8,10,20,6
BOS,BOS @ PHI,10/23/2019,L,240,93,33,90,36.7,7,26,26.9,20,34,58.8,10,31,41,18,4,2,11,29,-14
